State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
Pennsylvania,237526,"1,733",595,"3,773",776,"11,590","3,234","3,619","6,612","1,208","13,412","3,768",728,629,"4,430","3,419",370,"1,129","1,266",410,"1,187","20,654","6,379","1,856","1,012",878,"1,164",338,445,"1,548",665,"41,215",370,"42,637","5,741",30,"11,277",533,"1,150",N/A,"1,005","2,807",782,"2,617","11,680",665,494,"10,019","2,624","1,879",718,456,"3,091",70342,2023
Rhode Island,31599,0,74,79,0,"2,008",484,"1,324",0,720,"3,277",665,326,0,904,129,144,98,158,"1,226",145,688,"9,208",535,141,185,11,0,0,0,535,"1,126",0,"2,089",513,0,146,87,243,"1,192",N/A,393,0,485,761,0,55,"1,068",102,0,61,214,285,8217,2023
South Carolina,203674,"3,422",842,"2,578","1,633","7,108","3,444","2,047","1,103",225,"16,206","17,378",133,"1,696","6,046","2,228",192,171,"1,740",686,"1,633","8,853","5,444","4,808","1,725",662,"1,929",403,892,"1,882","1,894","9,772","1,144","12,224","28,109",69,"5,710",359,862,"13,419",713,N/A,646,"5,304","7,228","2,894",0,"10,020","2,125","1,825","1,712",536,155,25834,2023
South Dakota,30055,155,33,908,219,"3,368","1,559",54,0,0,634,37,0,70,938,968,913,161,240,358,0,331,0,153,"7,142",0,74,680,"3,622",139,0,0,168,604,672,769,56,102,456,244,25,0,N/A,392,"2,059",30,0,100,772,0,137,713,0,2172,2023
Tennessee,203156,"6,537",536,"3,907","2,485","23,961","6,148","2,170",601,0,"21,195","12,600",35,"1,301","9,588","4,848",414,958,"9,175","3,407",315,"1,347","2,916","2,924",916,"6,480","3,370",777,307,773,222,"2,214","1,043","11,363","8,004",380,"6,397",268,"2,601","3,900",184,"3,580",331,N/A,"14,618","2,744",967,"7,309","3,517","1,633","1,690",200,533,26288,2023
Texas,611942,"7,781","4,688","19,900","10,833","93,970","25,369","2,645",876,"1,553","50,513","17,398","5,273","5,764","24,181","5,369","6,140","8,547","5,410","28,458",585,"16,116","10,162","10,855","7,959","7,170","10,883","1,106","5,567","8,557",569,"7,553","14,704","29,610","10,793","2,515","13,463","29,743","10,131","8,438","1,184","8,072","1,978","12,068",N/A,"9,731",554,"14,137","20,423","1,194","8,581","2,873","6,349",264501,2023
Utah,90865,647,704,"6,639",683,"15,848","5,787",473,0,69,"2,832","1,093",620,"6,791","2,628","1,106",169,153,438,289,319,662,"3,449","1,332",791,"1,004","3,355",659,319,"6,808",529,0,544,"1,605","1,863",144,630,175,"1,674","2,146",0,526,23,"1,133","7,276",N/A,"1,030","1,439","2,389",0,785,"1,287",195,27581,2023
Vermont,26743,556,22,419,0,855,"1,446","1,655",30,181,"1,316",235,68,394,0,184,26,0,32,0,542,966,"3,965",70,793,28,11,207,267,0,"2,781",710,0,"3,279",280,0,516,0,770,"1,529",225,110,0,300,981,133,N/A,627,161,0,0,73,0,2065,2023
Virginia,276161,"3,475",796,"4,091",142,"21,771","4,924","3,179","2,450","13,010","24,733","10,449","3,680","1,269","7,940","2,023","1,042","1,417","2,011","2,088","1,240","28,203","3,789","3,748",885,"1,993","3,330",332,264,792,"2,004","8,120","1,237","15,048","23,197",281,"5,931","1,044","1,698","13,285","1,242","11,905",422,"8,915","11,470","2,105",227,N/A,"4,758","7,199","1,007",0,"1,031",54407,2023
Washington,212616,926,"3,098","10,675","1,093","40,858","7,250",620,89,"1,949","7,185","3,761","6,548","7,513","4,950","1,741","2,386","2,468","1,344","1,720",185,"2,602","1,797","2,054","2,081","1,693","1,646","3,372",437,"7,131",285,"1,513","1,958","5,371","6,383",77,"1,878","1,716","29,960","2,416",796,"1,274",375,"2,341","13,788","4,830",482,"6,092",N/A,0,"1,412",497,183,67190,2023
West Virginia,42020,438,78,897,0,552,587,0,56,132,"3,585",391,0,7,596,70,0,0,"2,049",10,0,"6,587",54,120,0,579,128,76,0,198,60,485,275,"1,764","1,056",70,"7,164",84,233,"4,360",0,518,0,753,"1,291",208,0,"5,498",866,N/A,145,0,181,3392,2023
Wisconsin,114938,69,736,"3,304",865,"6,339","2,723",506,0,710,"8,391","1,609",161,372,"26,943","2,465","4,630",723,494,630,314,748,"1,569","6,032","17,067",221,"2,084",824,741,"1,972",66,768,595,"2,252","1,757",723,"1,121","1,339","1,103","2,252",129,939,732,"1,120","2,782",319,99,"1,415","1,471",422,N/A,292,"1,084",19811,2023
Wyoming,22957,341,252,"1,526",35,"1,181","4,777",0,8,38,791,680,99,"1,149",61,142,110,432,261,"1,001",0,81,0,266,7,132,572,"1,643",596,353,0,404,28,69,62,151,0,3,969,285,0,13,"1,037",118,"1,699",599,0,323,621,0,42,N/A,0,2353,2023
Puerto Rico,23588,133,158,365,0,375,533,304,0,231,"3,334","2,448",282,0,760,0,0,176,0,435,0,485,"1,350",193,0,308,92,0,0,233,0,"1,490",0,"1,979",521,0,0,0,0,"3,040",0,314,0,293,"2,252",37,0,443,519,0,505,0,N/A,4275,2023
United States2,8230953,"102,894","32,755","204,734","74,408","817,669","239,200","88,733","33,691","67,904","489,905","253,275","67,257","70,542","344,027","137,624","70,359","84,558","88,556","105,897","34,659","205,406","214,644","167,885","130,807","59,596","156,845","38,483","49,472","114,131","46,866","267,106","58,443","545,598","259,422","28,359","196,766","85,782","157,729","278,699","39,156","154,398","28,803","182,669","494,077","109,290","23,170","282,050","257,785","40,535","121,329","27,005","42,990",2079392,2022
Alabama,139263,N/A,714,"1,202","1,536","8,012","3,329",868,694,85,"18,236","23,155","1,256",294,"4,328","1,693",363,"1,403","2,892","5,461",141,"1,517",599,"1,033",322,"5,736","1,421",150,102,188,855,"1,207",536,"3,827","3,320",712,"2,223",785,752,"3,330",158,"6,298",259,"11,634","10,102",577,194,"3,654","1,639",268,203,0,311,13181,2022
Alaska,36563,151,N/A,"1,645",10,"3,855",665,15,72,14,"1,575",834,532,309,130,296,108,352,73,186,0,142,285,40,356,70,367,"1,160",0,256,62,40,287,"2,430","3,305",120,125,"1,993","1,409",160,0,393,113,872,"3,135","4,215",0,345,"3,076",0,943,42,129,4797,2022
Arizona,282729,727,"2,091",N/A,"1,147","74,157","12,232",339,970,152,"4,471","3,046","1,236","2,628","10,623","3,759","3,228","1,240","2,143",734,647,"1,955","3,143","7,449","3,927",600,"7,362","4,455","1,972","8,890",314,"3,626","6,263","5,071","3,300","2,086","5,280","3,096","12,093","4,273",280,"2,398","2,850","4,357","17,404","10,597",182,"3,791","21,242",471,"6,569","1,863",608,45351,2022
