State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
Delaware,34451,39,0,115,0,551,0,487,N/A,136,"1,122",118,0,0,191,50,205,747,94,468,101,"5,639",481,153,0,148,0,0,86,0,157,"6,112",30,"2,907",586,167,446,0,0,"9,991",187,470,0,103,378,99,305,"1,458",0,124,0,0,185,2577,2018
District of Columbia,47555,174,0,204,0,"3,803",336,262,182,N/A,"1,789",647,124,0,"1,066",146,162,0,110,0,61,"12,735","1,664",486,143,146,201,92,0,36,130,"2,382",0,"4,642","1,026",0,"1,592",0,80,"1,617",87,408,0,690,"1,036",215,213,"7,773",387,294,346,68,183,9256,2018
Florida,587261,"12,870","1,388","4,542","3,239","26,888","15,746","18,291","4,124",983,N/A,"35,350","3,008","1,594","27,622","11,784","3,538","2,970","11,330","4,389","2,783","15,173","20,314","20,852","6,820","2,984","9,774","1,007","3,893","3,772","5,137","30,105","2,558","63,033","26,708","1,485","22,452","3,190","3,639","31,712","4,219","15,250","3,062","13,285","24,197","3,558","1,723","31,798","9,045","5,760","7,573",744,"44,710",172958,2018
Georgia,274273,"15,589",917,"2,255","1,900","16,745","3,497","5,574",520,571,"51,020",N/A,"2,335",193,"6,146","4,151","1,995","1,110","2,027","3,082",89,"5,797","2,577","5,592","1,042","2,967","2,889","1,018","2,097",674,103,"9,055","1,619","10,754","16,957",364,"6,935","3,297",909,"4,527",196,"16,328",522,"18,283","22,746","1,123",431,"6,992","3,520","1,277","2,627","1,339","1,382",47769,2018
Hawaii,54074,484,"1,509","2,167",0,"10,456","3,164",114,52,768,"3,085","2,192",N/A,"1,027",583,306,586,"1,385",170,320,124,574,656,115,363,219,"1,129",165,481,502,0,24,122,"1,416",843,0,510,"1,172","1,615",580,0,"1,072",50,723,"4,180",413,0,"3,987","4,351",0,142,178,68,12936,2018
Idaho,79765,84,"1,179","3,852",496,"21,018","1,505","1,905",0,0,"1,406",436,0,N/A,120,521,178,571,40,264,0,75,0,212,631,209,359,"2,880",146,"3,736",0,27,181,"2,943","1,331",261,82,795,"4,735",937,0,62,0,482,"2,605","6,626",64,804,"14,955",154,42,856,703,5887,2018
Illinois,206620,"1,280","1,400","5,818","1,188","16,518","3,208","1,911",9,"1,020","13,561","4,106",459,"1,093",N/A,"16,223","7,727","2,047","3,289","2,373",0,"3,011","3,956","9,210","4,498","2,169","15,055",317,881,"1,555",42,"3,488","1,041","8,838","4,544",540,"6,423","1,041","1,112","5,261",414,"3,542",746,"7,084","13,412","2,642",76,"4,710","2,855",869,"13,965",93,"2,677",64608,2018
Indiana,145256,966,138,"3,009","1,271","6,811","4,695",722,868,32,"8,650","4,525",47,887,"31,556",N/A,311,918,"9,224",747,128,"1,192","1,010","7,972","1,345","1,134","4,404",248,286,"1,470",348,"2,482",666,"1,512","2,589",0,"14,794","1,316","1,020","2,764",0,"2,473",0,"5,409","6,321",608,30,"2,453","1,192",477,"3,228","1,008","2,561",29522,2018
Iowa,74199,148,66,"2,021",410,"4,408","4,856",23,0,382,"1,931",140,689,111,"15,699","1,251",N/A,"2,274",393,360,101,0,514,"1,504","6,286",379,"4,338",499,"8,119",817,0,20,358,438,502,495,969,711,173,367,0,174,"1,664",588,"3,400",506,0,298,"1,244",0,"4,333",240,633,10340,2018
Kansas,95748,476,378,"1,801","1,507","5,660","3,808",322,0,350,"3,991","1,072",564,449,"2,839",731,"3,704",N/A,739,"1,097",0,871,"1,424",825,835,176,"27,726",411,"2,042",636,0,613,683,"1,656","1,178",0,"3,377","7,757",456,967,0,287,381,"1,159","7,554","1,170",0,"1,368","1,064",90,948,606,152,14360,2018
Kentucky,110456,"2,055",115,"1,480",397,"2,052","1,643",327,389,175,"7,426","3,638",402,"2,215","5,108","11,241",265,"3,016",N/A,722,118,"1,689",239,"2,912",434,407,"2,910",109,90,270,179,114,598,"3,283","3,796",61,"15,246","1,130","1,044","1,908",0,"1,440",132,"12,498","6,360","1,201",0,"3,673","1,238","3,776",935,0,"1,122",11225,2018
Louisiana,81355,"1,462",515,276,"1,653","5,743","2,397",584,53,196,"2,878","5,901","1,117",69,"2,205",458,100,"1,056","3,041",N/A,35,516,630,"1,637",274,"7,505",679,222,44,"2,065",0,629,"1,235","2,106",813,0,963,469,609,687,0,"1,205",291,"1,561","23,588",603,0,"1,330",884,567,407,97,238,12770,2018
Maine,34706,0,47,765,0,850,840,"1,734",29,235,"2,082",235,55,308,180,204,0,67,512,38,N/A,377,"5,775","1,320",75,214,349,246,0,23,"4,731",389,97,"2,909","1,049",134,788,217,181,"1,393",317,503,71,583,"2,386",142,997,874,283,0,102,0,0,3324,2018
Maryland,163216,647,485,"2,240",785,"7,924","1,168","1,890","5,811","21,093","11,989","3,676",892,470,"1,827","1,048",322,573,745,"1,281",990,N/A,"1,753","1,635",284,888,"1,253",223,576,120,"1,065","6,333","1,195","8,372","6,582",291,"3,098",831,916,"12,461",138,"2,515",154,"1,670","7,408","1,852",44,"26,522","1,881","5,422","1,731",147,"1,962",43531,2018
Massachusetts,144042,483,241,"1,554",222,"13,901","1,174","14,224",887,"1,557","9,455","2,988",257,44,"3,415",819,79,747,399,633,"3,188","3,439",N/A,"2,118","1,578",78,"1,227",216,194,321,"11,251","8,026",78,"19,960","3,170",0,"1,123",261,"1,013","6,014","10,630","1,135",52,"2,139","4,116",466,"1,979","4,260","2,069",115,703,44,"5,677",60454,2018
Michigan,139276,537,"1,025","4,028",755,"11,239","3,337","1,388",86,256,"12,601","1,477",496,509,"10,193","12,702",506,"1,825","2,221","1,254",410,"1,174","3,536",N/A,"1,195","1,124","1,926",527,"1,147","1,684",622,"2,313",331,"6,478","3,767",311,"13,625",396,"1,265","4,263",42,"2,627",354,"4,017","7,873",599,142,"4,095","3,169",115,"3,613",101,397,44379,2018
Minnesota,100270,976,363,"2,176",621,"4,915","2,605",342,0,141,"5,720",727,241,544,"8,454","1,388","4,626",936,443,382,249,"1,330",819,"2,043",N/A,415,"2,483",812,"1,830",848,110,231,406,"3,536","1,934","9,793","1,134","1,111",974,"1,282",202,151,"3,896","1,220","4,757",626,85,810,"5,889",0,"15,270",424,100,25713,2018
Mississippi,68000,"8,401",191,674,696,"2,066",284,0,0,99,"3,369","3,358",489,0,"3,245","2,858",70,583,251,"12,049",52,391,346,675,28,N/A,"1,991",432,59,"1,023",0,154,0,"1,319",357,71,799,413,55,"1,071",0,658,0,"10,004","5,853",468,0,695,128,285,"1,243",747,303,6945,2018
Missouri,152326,"2,378",882,"2,009","8,166","8,156","8,782",361,235,461,"7,112","1,919",322,276,"20,041","3,462","4,904","21,037","2,042","2,063",182,682,497,"2,369","2,160","2,814",N/A,499,"2,071","1,481",0,"1,628",605,"3,210","2,432",190,"2,286","4,602",546,"1,605",40,"2,259",522,"3,153","10,799","2,886",236,"3,228","2,521",59,"1,546",610,777,17721,2018
Montana,43375,540,986,"1,787",19,"4,991","2,921",323,0,0,"1,263",892,225,"2,157",549,391,142,"1,031",26,106,54,0,413,142,"2,505",0,187,N/A,93,251,257,90,"1,118",183,372,"1,978",733,239,"3,284",271,0,675,375,240,"2,198",891,56,248,"5,450",0,774,"1,949",131,2640,2018
Nebraska,54579,268,34,"1,351",236,"4,148","4,835",348,0,100,"1,111",982,420,19,"1,696",669,"6,072","4,355",607,199,7,579,512,665,"2,242",353,"2,835",108,N/A,567,0,255,455,770,"1,362",393,771,795,818,285,70,72,"2,753",920,"6,429",448,0,674,654,41,336,960,40,9305,2018
Nevada,127362,397,458,"6,999",49,"50,707","3,724",198,98,43,"4,018","1,511","4,959",875,"2,938",850,508,412,846,657,0,474,"1,992","1,157","1,070",459,"1,130",515,671,N/A,165,"2,179","2,121","2,770",903,0,"1,913","1,304","3,113","1,559",88,615,3,837,"5,129","7,133",26,"1,616","6,231",0,"1,151",791,564,12897,2018
New Hampshire,48367,158,45,704,569,"1,263",385,"1,298",238,95,"3,806",533,151,0,0,327,14,41,270,0,"4,016",423,"20,416","1,002",52,0,359,0,0,453,N/A,534,102,"1,276","1,714",60,258,79,230,"1,585",864,"1,027",0,246,786,31,"1,725",836,198,0,198,0,"1,041",4994,2018
New Jersey,159846,147,67,"1,626",0,"9,613","1,505","2,187","1,720","1,187","13,591","1,817",305,255,972,312,163,248,112,353,101,"2,788","4,754",960,353,239,336,0,167,204,946,N/A,0,"64,810","6,359",288,"4,034",254,195,"24,132",223,"1,242",0,431,"6,504",19,0,"2,011","1,507",304,505,0,"5,863",56534,2018
New Mexico,60068,"1,099",197,"3,284",352,"7,524","4,877",55,0,30,"2,196",232,313,665,482,0,434,378,129,524,257,162,449,851,641,"1,010",675,303,344,868,538,"1,021",N/A,"1,099",405,205,"1,090","2,159","2,009","1,086",0,"1,270",0,776,"14,250","1,199",192,987,"2,714",204,285,248,725,9575,2018
New York,254447,"1,395",415,"3,541",52,"25,255","4,553","14,420","1,328","2,802","24,084","7,994","1,181",491,"5,977","2,007","2,352","1,262",986,"2,069",731,"7,775","13,568","3,743","1,286",447,"2,335",372,866,"1,853","2,474","36,401",647,N/A,"9,270",294,"5,284","1,303","1,414","19,339","1,362","4,457",431,"3,144","14,708",364,"4,072","9,302","1,962","1,126","1,935",18,"9,431",123671,2018
North Carolina,318681,"3,287","1,562","2,622","1,897","17,536","5,471","2,702","1,988","2,031","37,585","17,020","3,402",244,"6,544","3,506","1,976","1,815","3,906","2,454","1,235","8,717","5,822","5,793","3,342","3,441","2,993",331,"1,052",857,"1,862","11,947","2,306","25,596",N/A,177,"9,431","2,034","3,066","12,058","1,535","26,091",57,"7,476","18,748","1,735","1,208","27,843","6,790","4,624","1,920","1,046","2,393",50362,2018
North Dakota,33735,4,112,530,464,"1,040",522,0,0,53,"1,355","1,194",204,433,467,113,166,306,0,778,0,281,0,411,"10,670",275,540,"2,167",13,14,0,170,"1,285","2,105",179,N/A,139,"1,631",399,733,0,114,"1,225",644,"1,098",321,0,132,683,0,475,290,119,3281,2018
Ohio,198026,"1,744","1,200","2,432",583,"8,799","2,216","2,510",996,789,"15,037","5,178",735,334,"9,797","14,252","2,395",803,"16,598","1,463",761,"2,272","3,415","15,409","1,405","2,527","3,410",677,"1,796","1,460",28,"3,585","1,148","9,067","5,818",221,N/A,35,"1,737","16,881",42,"4,605",134,"5,467","8,189","1,922",314,"6,695","2,032","6,260","2,778",75,"2,248",34862,2018
Oklahoma,106943,541,661,"3,631","8,526","8,330","4,039",0,0,0,"5,489","1,590",931,216,"3,201",813,603,"5,393",214,"2,107",0,871,701,"1,395","1,167",446,"5,861",46,965,"1,106",0,390,"1,528","1,221",819,13,932,N/A,"1,595",941,56,803,302,"2,210","31,551","1,944",152,"1,352","1,258",0,392,641,"1,221",12927,2018
Oregon,140627,315,"4,317","7,736",436,"43,058","3,292",157,0,226,"3,824","1,203","2,729","5,745","2,022",854,139,899,942,238,406,327,"1,425","2,412","1,693","1,070",681,"1,515",96,"5,375",0,"1,143","1,440","2,842","3,570",238,"1,390",700,N/A,"1,107",0,817,354,303,"5,403","2,512",495,"1,628","21,672",185,419,"1,277",0,19359,2018
Pennsylvania,253520,"1,202",553,"3,269","1,486","11,568","4,822","3,891","5,999","1,336","17,029","4,255",783,110,"3,659","2,045",365,"1,065",921,986,916,"20,660","5,651","3,138","2,019","1,287",979,328,328,409,917,"43,726","1,335","43,048","7,579",446,"12,317","1,576","1,451",N/A,535,"3,272",455,"2,566","9,760","2,041","1,002","10,010","3,059","5,485","1,725",156,"11,188",50264,2018
Rhode Island,32841,183,0,50,0,"2,219",504,"4,791",0,45,657,739,0,42,293,0,0,0,86,0,606,521,"11,413",151,0,0,287,0,37,42,677,"1,038",43,"3,252",673,173,623,0,87,422,N/A,43,0,0,960,194,134,"1,278",501,0,77,0,662,7668,2018
South Carolina,186505,"4,636",715,"1,460","1,382","12,103","1,622","6,800",978,743,"15,772","16,110",857,0,"3,454","3,095","1,036","1,091","1,408","1,913",192,"7,826","4,451","2,721",366,895,"2,960",553,541,375,787,"4,921",944,"12,721","27,734",498,"5,784",228,748,"7,040","1,684",N/A,200,"5,666","5,387","2,112",439,"6,507","3,842","1,299","1,643",266,"3,505",18378,2018
South Dakota,26775,84,0,241,0,"2,073",797,0,0,0,"2,128",968,0,297,841,144,"3,275",906,57,408,0,144,0,150,"3,822",231,191,428,"3,735",56,56,0,299,359,188,"1,986",0,0,37,194,0,612,N/A,301,279,76,0,157,567,0,37,651,262,3026,2018
Tennessee,209377,"8,547","1,137","2,886","4,841","9,682","5,410","1,784",53,203,"26,724","17,439","1,515",148,"9,857","4,928",588,796,"13,720","2,226",576,"1,470","3,592","4,814",375,"11,641","5,139",122,913,789,649,"2,231",366,"5,312","9,388",285,"6,273","2,130","2,314","2,504",183,"6,061","1,722",N/A,"12,046","1,186",77,"8,172","3,245","1,705","1,492",121,"1,615",26794,2018
Texas,563945,"5,945","2,375","18,628","14,377","86,164","21,509","3,762","1,275","1,059","37,262","14,235","7,986","3,494","19,241","9,704","6,379","12,049","3,841","29,108",815,"13,777","5,528","8,070","7,291","8,663","21,257","1,626","2,959","6,215","1,166","5,906","17,670","18,925","17,954","2,456","9,600","24,590","6,457","9,143",933,"8,806","1,979","12,229",N/A,"6,287",569,"18,731","16,855",924,"5,844","2,327","11,057",189679,2018
Utah,100824,315,494,"6,827",896,"18,025","4,181",720,61,149,"2,743","2,665","2,533","8,574","1,737",355,754,964,368,241,98,743,"1,909","1,477",531,216,977,"1,548",377,"4,383",269,646,"1,014","3,413",767,482,"1,382",127,"5,136","1,104",50,246,318,814,"7,528",N/A,0,"1,526","8,186",75,"1,346","1,534",0,22096,2018
Vermont,26306,124,0,205,0,"1,380",649,"2,251",0,134,"2,105",170,98,0,75,31,53,0,740,24,455,357,"3,819",107,461,0,126,0,27,110,"2,877","1,343",101,"4,535",266,0,201,71,125,520,235,178,0,305,427,329,N/A,903,165,0,179,45,5,2375,2018
Virginia,274003,"3,426","1,235","4,162","1,002","21,210","4,557","3,254","1,306","11,821","20,272","7,894","3,116",166,"7,025","2,259","1,388","1,875","2,431","2,609",535,"28,366","5,622","3,135","1,616","2,832","4,988",0,407,"1,198","1,464","9,605","1,394","17,983","23,916",470,"6,308","1,778",497,"13,013","1,810","8,776",223,"7,963","14,918","2,847",607,N/A,"6,404","2,423","1,631",266,"2,328",56522,2018
Washington,260906,495,"3,520","14,252",953,"55,467","10,122","1,785",131,"1,837","8,084","5,899","3,416","11,911","5,382","1,118",647,"1,318",475,"1,278",421,"4,526","4,418","3,607","2,131",614,"2,837","4,467","1,354","4,222",580,"4,488","1,950","7,539","5,432","1,414","3,080","3,423","31,642","3,105",225,"2,025",163,"2,567","18,425","7,466",8,"5,887",N/A,182,"3,381","1,237","1,477",60173,2018
West Virginia,43841,83,0,272,288,524,798,639,419,328,"1,722",582,42,0,564,"1,227",0,113,"1,061",572,74,"3,876",384,321,70,0,71,0,0,27,0,546,35,640,"1,889",0,"7,299",49,135,"6,291",0,"2,329",45,"2,631",516,111,0,"6,646",185,N/A,437,0,220,1317,2018
Wisconsin,114613,572,484,"2,883",292,"6,642","3,321",614,211,109,"5,593","2,016",449,129,"25,155","2,663","3,072","1,186","1,661",518,186,579,"1,160","4,737","19,632",559,"2,670",410,345,"1,350",251,"1,098","1,950","1,246","1,853",414,"3,759",790,"1,550","1,537",27,619,374,"1,330","3,977","1,252",110,869,"1,938",265,N/A,206,"2,285",15208,2018
Wyoming,25734,639,0,934,392,"1,604","5,632",12,0,0,"1,159",40,55,367,214,227,30,675,568,72,15,0,251,"1,117",59,65,914,"1,501",782,286,335,5,512,393,367,721,473,306,888,146,88,54,750,104,"1,354",911,0,197,373,118,29,N/A,119,2496,2018
Puerto Rico,20900,0,0,195,0,520,722,"1,008",0,0,"5,916",173,212,0,594,0,0,0,0,0,0,202,"1,789",0,0,0,0,0,0,85,160,"1,758",0,"2,334",335,0,0,0,48,"1,214",411,103,0,123,"2,394",0,0,473,0,0,131,0,N/A,2936,2018
United States,7471493,"101,466","42,972","163,214","69,850","661,026","194,296","98,971","35,653","65,018","447,586","254,956","66,597","56,954","339,435","132,094","79,358","99,660","99,490","102,212","27,425","183,900","173,033","148,059","125,130","78,043","153,284","28,012","47,760","98,226","41,740","224,961","67,296","452,580","243,206","37,344","206,479","96,005","109,454","254,634","30,166","128,797","27,412","155,665","467,338","89,721","20,872","262,563","198,813","43,321","113,492","25,954","97,488",2017519,2017
Alabama,111803,N/A,424,"1,513",517,"2,328","1,974",336,22,378,"14,171","22,363",93,118,"2,399","2,295",627,646,"2,157","2,308",56,801,450,"1,821",420,"7,798",544,247,167,"1,989",245,"1,103","1,007","2,203","4,245",878,"1,702",877,444,"1,595",848,"1,896",96,"8,018","8,825",998,0,"4,277","1,289","1,070","1,121",104,476,13191,2017
Alaska,30199,942,N/A,"1,387",203,"3,556","1,487",0,0,0,906,422,424,225,723,186,"1,083",17,397,327,225,325,111,524,"1,077",172,143,156,282,633,0,485,64,757,345,103,448,373,"1,232",274,216,270,6,544,"2,165",465,0,360,"3,653",0,"2,500",6,0,5738,2017
Arizona,261727,"1,337","2,255",N/A,"1,763","59,233","12,810",730,810,362,"8,522","5,278","2,651","3,991","13,095","3,381","3,423","2,506","1,708","2,174",194,"1,108","2,382","5,651","7,093","1,261","5,195","2,436","1,870","7,647",578,"4,329","6,455","5,674","4,429","2,725","5,095","4,856","10,701","6,332",141,"1,214","1,458","2,194","12,793","8,594",96,"3,593","14,392",318,"3,897",997,438,44793,2017
Arkansas,79411,574,241,"1,060",N/A,"5,334","2,547",0,0,0,"1,525","1,805",0,582,"2,252","1,810",176,"2,021","1,222","2,867",0,"1,425",97,961,808,"4,171","6,759",118,475,439,78,359,414,283,"1,749",88,39,"7,854",749,"2,639",0,487,0,"5,383","15,767",657,0,"1,087","1,539",0,958,12,573,8385,2017
California,523131,"3,715","2,606","26,907","3,471",N/A,"25,038","5,935",491,"6,818","24,611","10,233","12,776","5,626","27,117","5,190","4,163","5,202","3,431","5,169","2,578","11,303","16,774","11,538","7,487","3,299","6,841","2,809","2,419","23,768","1,216","12,906","5,312","34,278","13,523","2,223","11,410","4,890","20,548","16,141","1,763","7,134","1,403","5,413","40,999","9,925",895,"21,162","33,143",789,"9,348","1,395","1,864",316046,2017
Colorado,226933,"3,120","2,030","6,765","1,356","27,014",N/A,"1,800",764,863,"12,385","4,712","3,512","2,984","10,652","2,754","3,035","6,653","2,195","2,195",448,"3,420","2,785","2,661","4,369","1,085","3,774",675,"4,541","3,800","1,416","5,166","4,715","8,560","6,273","1,286","5,144","5,180","4,359","4,840",963,"2,221","1,453","2,453","25,212","3,417",471,"6,099","6,675",42,"3,506","5,135",828,33042,2017
Connecticut,83325,206,540,644,160,"2,807",370,N/A,463,414,"6,589","1,531",473,0,697,534,0,0,227,716,627,992,"12,004",376,160,0,"1,601",0,154,142,472,"3,930",825,"28,542","1,910",187,"1,171",400,579,"3,263","2,061","1,019",0,166,"3,698",149,393,"1,314",374,0,188,257,"3,780",20800,2017
Delaware,38532,506,0,76,0,580,144,174,N/A,316,"1,335",179,110,0,857,41,0,0,21,73,0,"9,748",396,441,45,0,153,0,0,0,0,"4,006",44,"3,564",327,0,80,295,104,"11,035",0,144,0,318,"1,152",32,59,"1,510",0,371,296,0,260,3688,2017
District of Columbia,56231,494,0,549,105,"3,763","1,109","1,149",375,N/A,"1,182","1,507",29,161,"2,726",710,17,0,285,461,122,"10,835","2,669",808,436,157,466,0,0,128,88,"2,590",206,"5,238","1,867",5,"1,026",0,37,"1,824",296,235,0,"1,057","2,858",384,447,"7,509",206,0,115,0,356,9907,2017
Florida,566476,"9,389","1,400","5,577","3,028","30,919","12,061","11,249","3,831",605,N/A,"38,800","2,092","1,359","28,631","11,833","3,466","3,376","9,762","6,403","2,960","18,907","18,212","19,169","7,614","4,236","8,820",755,987,"4,681","5,887","27,892","2,811","63,722","23,270",702,"22,946","6,123","3,231","28,507","3,259","10,521",763,"12,023","31,625","6,063","2,816","28,232","6,176","2,187","7,202",396,"28,538",217781,2017
Georgia,278889,"15,270",986,"6,218","2,055","12,052","4,981","2,216",997,"1,077","47,035",N/A,"1,482","1,825","12,025","3,319","1,079","5,213","2,226","6,379",132,"4,027","2,834","5,249","2,591","4,597","4,008",61,650,349,975,"7,389","1,801","15,395","12,684",32,"9,472","2,285",718,"5,967",644,"15,269",132,"15,224","19,969","1,503",38,"11,256","2,649",420,"3,504",630,"3,345",53608,2017
Hawaii,46457,844,424,"1,666",48,"8,843","1,584",238,14,232,"2,460","2,915",N/A,466,"1,062",327,779,637,0,248,0,629,862,353,97,171,700,0,136,"1,525",0,125,784,804,"1,399",62,"1,053",0,"1,103","1,218",5,"1,262",45,495,"4,078",962,0,"2,656","2,837",0,213,96,11,15687,2017
Idaho,71899,58,796,"1,523",265,"21,372","3,823",0,126,0,"1,833",444,765,N/A,357,169,0,0,269,281,270,305,0,630,348,261,"1,216",938,514,"2,195",0,70,570,598,"1,294","1,900",407,227,"3,866",582,0,145,140,749,"3,685","7,226",0,612,"8,881",0,442,"1,747",67,6562,2017
Illinois,195092,"1,682",270,"4,159","2,591","16,046","5,172","1,860",120,995,"10,513","4,420",460,670,N/A,"16,998","8,837","1,212","2,985","1,053",173,"2,681","2,998","10,793","5,286","2,409","16,147",187,"2,290","2,565",310,"3,698",632,"6,377","3,923",576,"6,736",686,962,"3,090",266,"1,848",686,"5,086","11,642","1,160",51,"4,127","4,846",130,"12,274",414,"1,829",69590,2017
Indiana,142290,"1,216",131,948,852,"10,096","1,692",413,0,250,"9,027","4,224",424,39,"29,526",N/A,"1,825","1,590","11,298","1,223",0,"1,093",957,"8,377","1,400",641,"1,288",192,518,919,69,"2,836","1,459","1,551","3,293",78,"10,940","1,695",668,"1,341",0,962,372,"5,122","10,543","1,240",512,"1,867","2,782","1,044","3,757",0,144,23413,2017
Iowa,77072,817,629,"2,346",693,"2,625","2,257",150,95,0,"3,945","2,475",266,"1,005","12,997","1,390",N/A,"2,895",467,327,54,579,288,629,"6,834",164,"4,510",443,"6,639",874,46,205,138,306,"1,827",332,991,478,707,"1,418",158,411,"2,685","1,152","3,315",489,227,774,"1,405",550,"3,011",54,67,12170,2017
Kansas,86154,276,515,"1,404","1,225","6,511","5,871",412,0,5,"2,661","2,490",419,54,"2,840","1,433","2,119",N/A,168,580,24,623,417,378,679,552,"21,605",338,"2,939",785,338,408,493,"2,196","1,165",90,"2,044","6,508",333,674,0,0,729,788,"9,814",981,0,"1,029",801,0,317,123,347,11136,2017
Kentucky,103985,"2,851",506,333,342,"4,466",614,799,558,51,"6,318","2,654",222,31,"5,333","10,192",558,"1,068",N/A,"1,205",0,"1,413",555,"1,602",577,495,"1,643",169,570,215,292,730,"1,409","2,115","3,228",132,"19,493","1,345",368,"1,543",154,"1,473",73,"11,642","6,677",0,85,"2,453","1,428","2,140","1,599",266,"1,402",14071,2017
Louisiana,72836,"2,830",199,520,"3,289","5,534","1,575",407,0,100,"4,404","3,382",555,0,"1,829",327,472,581,443,N/A,0,756,350,"2,003",84,"9,011",975,347,141,237,595,522,298,"1,854","1,931",363,983,912,265,883,48,903,16,"1,733","17,674",34,0,"2,073",623,261,319,195,455,12321,2017
Maine,34252,246,163,322,12,"1,578",849,"1,690",111,124,"3,059","1,241",0,180,152,99,0,0,41,455,N/A,88,"7,567",227,241,67,659,0,276,64,"4,274",662,38,"2,478","1,074",0,427,11,294,"1,629",336,189,0,255,491,444,569,"1,162",336,72,0,0,12,4005,2017
Maryland,165654,644,961,"1,689",410,"8,994","2,182","1,726","5,455","22,811","7,755","6,343","3,167",347,"2,615","1,887",383,451,899,394,197,N/A,"2,845","1,371",731,806,253,78,0,"1,351",264,"6,361","1,066","13,538","9,437",325,"2,818","1,094",187,"12,297",572,"1,862",0,977,"6,890",810,386,"23,315","1,839","3,926",901,44,"1,808",45822,2017
Massachusetts,146299,212,539,"1,030",207,"12,745","1,857","9,140","1,582","1,419","11,499","3,694",481,732,"2,301","1,134",332,692,930,948,"4,099","2,696",N/A,"2,747","1,814",45,"2,519",148,299,"1,363","12,417","6,872",713,"22,782","3,216",143,"1,791",197,556,"5,212","8,067","2,164",56,957,"4,603","1,335","2,000","3,083","1,672",161,"1,098",0,"6,748",70632,2017
Michigan,148787,"3,669",348,"4,948",825,"10,874","3,001",783,72,445,"14,479","5,794",188,216,"13,913","9,171","1,968","1,465","3,957","1,651",343,"1,472","1,770",N/A,"1,175","1,828","4,244",124,620,"1,631",357,"1,360",456,"7,337","3,614",882,"12,303","1,027","2,248","3,398",93,"2,680",119,"3,703","7,033","1,250",330,"3,539","1,572",392,"3,485",635,"2,621",45798,2017
Minnesota,115623,491,671,"2,587",634,"5,518","4,221",932,131,516,"3,512","2,247",416,209,"7,297","2,505","5,870",669,360,378,164,934,"1,280","4,664",N/A,573,"1,745",422,"2,225",997,74,"1,144",754,"3,274","1,737","10,579","2,704",301,875,"1,249",123,521,"6,244","2,212","5,529",392,46,"1,552","3,333",44,"20,555",213,503,22756,2017
Mississippi,73549,"5,936",127,553,"2,251","4,709","1,000",145,68,0,"4,481","7,946",942,0,"2,611","1,958",271,292,814,"8,103",229,948,183,422,331,N/A,"2,900",420,996,605,30,"1,042",27,769,729,18,352,70,0,682,0,951,0,"11,636","5,056",0,0,286,888,"1,158",402,212,281,6166,2017
Missouri,164957,"2,518","1,224","2,820","6,560","10,918","4,275",425,63,170,"6,630","2,818","1,573",774,"22,767","2,088","5,678","22,093","1,587","1,915",0,"1,871","2,025","2,518","1,672","1,543",N/A,330,"3,326","2,203",312,"1,686",987,"1,528","2,806",503,"4,309","6,239","1,382","2,590",108,"1,140",537,"2,320","14,820",760,228,"2,795","3,120",90,"3,784",529,943,23354,2017
Montana,35456,301,701,386,899,"5,447","2,241",0,0,47,"1,202",112,20,"1,198",839,317,257,267,68,226,150,188,31,750,948,236,90,N/A,103,581,76,91,227,995,314,"1,698",260,228,"1,242",382,20,0,509,87,"1,569",879,31,683,"3,879",112,497,"4,072",151,3821,2017
Nebraska,52507,420,199,"1,456",267,"3,707","4,520",0,11,10,"2,064",592,144,675,"1,615",171,"8,825","2,337",492,265,0,466,176,903,"2,713",0,"1,929",207,N/A,"1,133",67,58,186,658,359,541,689,951,850,364,0,355,"2,537",684,"4,876","1,467",13,774,351,164,694,572,436,10638,2017
Nevada,133074,191,"1,024","5,508",551,"47,513","8,518",693,517,249,"5,825","1,241","4,231","3,256","2,737",862,340,245,539,444,82,"1,364",838,"2,023","1,687",801,"2,488",429,"1,151",N/A,90,764,"1,874","2,280","4,154",153,"2,342",368,"3,501","1,758",85,"1,561",908,"1,022","5,346","4,410",237,"1,147","5,203",0,381,143,384,15985,2017
New Hampshire,52893,109,151,190,185,"2,418",512,"2,946",0,102,"2,486",725,307,0,968,311,67,0,45,47,"3,950",834,"21,734",109,43,0,205,0,0,"1,083",N/A,615,0,"4,123","1,113",0,34,259,136,"1,867",582,439,224,167,"1,200",30,"1,874",460,146,0,97,0,547,5756,2017
